road_type,vehicle_type,year,value,units
"Minor roads (B, C and unclassified)",Heavy Goods Vehicles,2018,239,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",Heavy Goods Vehicles,2019,218,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",All Motor Vehicle Traffic,2009,15016,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",All Motor Vehicle Traffic,2010,14748,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",All Motor Vehicle Traffic,2011,14582,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",All Motor Vehicle Traffic,2012,14456,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",All Motor Vehicle Traffic,2013,14579,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",All Motor Vehicle Traffic,2014,15189,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",All Motor Vehicle Traffic,2015,15382,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",All Motor Vehicle Traffic,2016,15601,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",All Motor Vehicle Traffic,2017,16378,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",All Motor Vehicle Traffic,2018,16363,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",All Motor Vehicle Traffic,2019,16187,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",Pedal Cycles,2009,243,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",Pedal Cycles,2010,253,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",Pedal Cycles,2011,258,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",Pedal Cycles,2012,264,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",Pedal Cycles,2013,282,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",Pedal Cycles,2014,327,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",Pedal Cycles,2015,300,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",Pedal Cycles,2016,247,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",Pedal Cycles,2017,252,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",Pedal Cycles,2018,269,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",Pedal Cycles,2019,316,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",All Traffic,2009,15258,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",All Traffic,2010,15000,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",All Traffic,2011,14841,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",All Traffic,2012,14720,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",All Traffic,2013,14861,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",All Traffic,2014,15517,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",All Traffic,2015,15683,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",All Traffic,2016,15848,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",All Traffic,2017,16630,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",All Traffic,2018,16632,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",All Traffic,2019,16503,Vehicle Kilometers (Millions)
All roads,Cars,2009,34392,Vehicle Kilometers (Millions)
All roads,Cars,2010,33593,Vehicle Kilometers (Millions)
All roads,Cars,2011,33583,Vehicle Kilometers (Millions)
All roads,Cars,2012,33786,Vehicle Kilometers (Millions)
All roads,Cars,2013,33849,Vehicle Kilometers (Millions)
All roads,Cars,2014,34491,Vehicle Kilometers (Millions)
All roads,Cars,2015,34786,Vehicle Kilometers (Millions)
All roads,Cars,2016,35484,Vehicle Kilometers (Millions)
All roads,Cars,2017,36174,Vehicle Kilometers (Millions)
All roads,Cars,2018,36381,Vehicle Kilometers (Millions)
All roads,Cars,2019,36747,Vehicle Kilometers (Millions)
All roads,Two Wheeled Motor Vehicles,2009,322,Vehicle Kilometers (Millions)
All roads,Two Wheeled Motor Vehicles,2010,290,Vehicle Kilometers (Millions)
All roads,Two Wheeled Motor Vehicles,2011,296,Vehicle Kilometers (Millions)
All roads,Two Wheeled Motor Vehicles,2012,292,Vehicle Kilometers (Millions)
All roads,Two Wheeled Motor Vehicles,2013,288,Vehicle Kilometers (Millions)
All roads,Two Wheeled Motor Vehicles,2014,299,Vehicle Kilometers (Millions)
All roads,Two Wheeled Motor Vehicles,2015,295,Vehicle Kilometers (Millions)
All roads,Two Wheeled Motor Vehicles,2016,292,Vehicle Kilometers (Millions)
All roads,Two Wheeled Motor Vehicles,2017,309,Vehicle Kilometers (Millions)
All roads,Two Wheeled Motor Vehicles,2018,314,Vehicle Kilometers (Millions)
All roads,Two Wheeled Motor Vehicles,2019,324,Vehicle Kilometers (Millions)
All roads,Buses,2009,635,Vehicle Kilometers (Millions)
All roads,Buses,2010,649,Vehicle Kilometers (Millions)
All roads,Buses,2011,606,Vehicle Kilometers (Millions)
All roads,Buses,2012,582,Vehicle Kilometers (Millions)
All roads,Buses,2013,604,Vehicle Kilometers (Millions)
All roads,Buses,2014,605,Vehicle Kilometers (Millions)
All roads,Buses,2015,583,Vehicle Kilometers (Millions)
All roads,Buses,2016,555,Vehicle Kilometers (Millions)
All roads,Buses,2017,571,Vehicle Kilometers (Millions)
All roads,Buses,2018,500,Vehicle Kilometers (Millions)
All roads,Buses,2019,563,Vehicle Kilometers (Millions)
All roads,Light Goods Vehicles,2009,6027,Vehicle Kilometers (Millions)
All roads,Light Goods Vehicles,2010,6113,Vehicle Kilometers (Millions)
All roads,Light Goods Vehicles,2011,6132,Vehicle Kilometers (Millions)
All roads,Light Goods Vehicles,2012,6135,Vehicle Kilometers (Millions)
All roads,Light Goods Vehicles,2013,6348,Vehicle Kilometers (Millions)
All roads,Light Goods Vehicles,2014,6719,Vehicle Kilometers (Millions)
All roads,Light Goods Vehicles,2015,7036,Vehicle Kilometers (Millions)
All roads,Light Goods Vehicles,2016,7527,Vehicle Kilometers (Millions)
All roads,Light Goods Vehicles,2017,8087,Vehicle Kilometers (Millions)
All roads,Light Goods Vehicles,2018,8064,Vehicle Kilometers (Millions)
All roads,Light Goods Vehicles,2019,8126,Vehicle Kilometers (Millions)
All roads,Heavy Goods Vehicles,2009,2557,Vehicle Kilometers (Millions)
All roads,Heavy Goods Vehicles,2010,2551,Vehicle Kilometers (Millions)
All roads,Heavy Goods Vehicles,2011,2484,Vehicle Kilometers (Millions)
All roads,Heavy Goods Vehicles,2012,2469,Vehicle Kilometers (Millions)
All roads,Heavy Goods Vehicles,2013,2492,Vehicle Kilometers (Millions)
All roads,Heavy Goods Vehicles,2014,2479,Vehicle Kilometers (Millions)
All roads,Heavy Goods Vehicles,2015,2512,Vehicle Kilometers (Millions)
All roads,Heavy Goods Vehicles,2016,2550,Vehicle Kilometers (Millions)
All roads,Heavy Goods Vehicles,2017,2602,Vehicle Kilometers (Millions)
All roads,Heavy Goods Vehicles,2018,2604,Vehicle Kilometers (Millions)
All roads,Heavy Goods Vehicles,2019,2586,Vehicle Kilometers (Millions)
All roads,All Motor Vehicle Traffic,2009,43932,Vehicle Kilometers (Millions)
All roads,All Motor Vehicle Traffic,2010,43197,Vehicle Kilometers (Millions)
All roads,All Motor Vehicle Traffic,2011,43101,Vehicle Kilometers (Millions)
All roads,All Motor Vehicle Traffic,2012,43263,Vehicle Kilometers (Millions)
All roads,All Motor Vehicle Traffic,2013,43580,Vehicle Kilometers (Millions)
All roads,All Motor Vehicle Traffic,2014,44593,Vehicle Kilometers (Millions)
All roads,All Motor Vehicle Traffic,2015,45213,Vehicle Kilometers (Millions)
All roads,All Motor Vehicle Traffic,2016,46407,Vehicle Kilometers (Millions)
All roads,All Motor Vehicle Traffic,2017,47744,Vehicle Kilometers (Millions)
All roads,All Motor Vehicle Traffic,2018,47862,Vehicle Kilometers (Millions)
All roads,All Motor Vehicle Traffic,2019,48347,Vehicle Kilometers (Millions)
All roads,Pedal Cycles,2009,287,Vehicle Kilometers (Millions)
All roads,Pedal Cycles,2010,298,Vehicle Kilometers (Millions)
All roads,Pedal Cycles,2011,305,Vehicle Kilometers (Millions)
All roads,Pedal Cycles,2012,310,Vehicle Kilometers (Millions)
All roads,Pedal Cycles,2013,329,Vehicle Kilometers (Millions)
All roads,Pedal Cycles,2014,369,Vehicle Kilometers (Millions)
All roads,Pedal Cycles,2015,342,Vehicle Kilometers (Millions)
All roads,Pedal Cycles,2016,288,Vehicle Kilometers (Millions)
All roads,Pedal Cycles,2017,292,Vehicle Kilometers (Millions)
All roads,Pedal Cycles,2018,313,Vehicle Kilometers (Millions)
All roads,Pedal Cycles,2019,367,Vehicle Kilometers (Millions)
All roads,All Traffic,2009,44219,Vehicle Kilometers (Millions)
All roads,All Traffic,2010,43496,Vehicle Kilometers (Millions)
All roads,All Traffic,2011,43406,Vehicle Kilometers (Millions)
All roads,All Traffic,2012,43573,Vehicle Kilometers (Millions)
All roads,All Traffic,2013,43909,Vehicle Kilometers (Millions)
All roads,All Traffic,2014,44963,Vehicle Kilometers (Millions)
All roads,All Traffic,2015,45555,Vehicle Kilometers (Millions)
All roads,All Traffic,2016,46696,Vehicle Kilometers (Millions)
All roads,All Traffic,2017,48036,Vehicle Kilometers (Millions)
All roads,All Traffic,2018,48175,Vehicle Kilometers (Millions)
All roads,All Traffic,2019,48714,Vehicle Kilometers (Millions)
