second_tier_authority,name,code,year,emissions_sector,emissions_sector_subsector,value,units
Scotland,Aberdeen City,S12000033,2009,LULUCF,S Lulucf Net Emissions Harvested Wood Products,0,kilotonnes
Scotland,Aberdeen City,S12000033,2010,Industry and Commercial,A Industry And Commercial Electricity,430.03478954662415,kilotonnes
Scotland,Aberdeen City,S12000033,2010,Industry and Commercial,B Industry And Commercial Gas,191.81247311229788,kilotonnes
Scotland,Aberdeen City,S12000033,2010,Industry and Commercial,C Large Industrial Installations,69.44232190077872,kilotonnes
Scotland,Aberdeen City,S12000033,2010,Industry and Commercial,D Industrial And Commercial Other Fuels,122.22154161304202,kilotonnes
Scotland,Aberdeen City,S12000033,2010,Industry and Commercial,E Agriculture,4.9114453558270785,kilotonnes
Scotland,Aberdeen City,S12000033,2010,Domestic,F Domestic Electricity,243.92988120894648,kilotonnes
Scotland,Aberdeen City,S12000033,2010,Domestic,G Domestic Gas,297.8284496647843,kilotonnes
Scotland,Aberdeen City,S12000033,2010,Domestic,H Domestic Other Fuels,8.427606312538195,kilotonnes
Scotland,Aberdeen City,S12000033,2010,Transport,I Road Transport A Roads,142.46382415813363,kilotonnes
Scotland,Aberdeen City,S12000033,2010,Transport,J Road Transport Motorways,0,kilotonnes
Scotland,Aberdeen City,S12000033,2010,Transport,K Road Transport Minor Roads,155.73901725306771,kilotonnes
Scotland,Aberdeen City,S12000033,2010,Transport,L Diesel Railways,1.9405454587694848,kilotonnes
Scotland,Aberdeen City,S12000033,2010,Transport,M Transport Other,20.460270013925822,kilotonnes
Scotland,Aberdeen City,S12000033,2010,LULUCF,N Lulucf Net Emissions Forest,-18.82393153324798,kilotonnes
Scotland,Aberdeen City,S12000033,2010,LULUCF,O Lulucf Net Emissions Cropland,34.74375230765681,kilotonnes
Scotland,Aberdeen City,S12000033,2010,LULUCF,P Lulucf Net Emissions Grassland,-18.686622864405138,kilotonnes
Scotland,Aberdeen City,S12000033,2010,LULUCF,Q Lulucf Net Emissions Wetlands,0,kilotonnes
Scotland,Aberdeen City,S12000033,2010,LULUCF,R Lulucf Net Emissions Settlements,7.847751683905235,kilotonnes
Scotland,Aberdeen City,S12000033,2010,LULUCF,S Lulucf Net Emissions Harvested Wood Products,0,kilotonnes
Scotland,Aberdeen City,S12000033,2011,Industry and Commercial,A Industry And Commercial Electricity,407.50951183369216,kilotonnes
Scotland,Aberdeen City,S12000033,2011,Industry and Commercial,B Industry And Commercial Gas,194.13361849894414,kilotonnes
Scotland,Aberdeen City,S12000033,2011,Industry and Commercial,C Large Industrial Installations,68.66061467146343,kilotonnes
Scotland,Aberdeen City,S12000033,2011,Industry and Commercial,D Industrial And Commercial Other Fuels,102.15964684437749,kilotonnes
Scotland,Aberdeen City,S12000033,2011,Industry and Commercial,E Agriculture,5.01867021745182,kilotonnes
Scotland,Aberdeen City,S12000033,2011,Domestic,F Domestic Electricity,229.4579011659077,kilotonnes
Scotland,Aberdeen City,S12000033,2011,Domestic,G Domestic Gas,251.1468881827975,kilotonnes
Scotland,Aberdeen City,S12000033,2011,Domestic,H Domestic Other Fuels,7.15125875032781,kilotonnes
Scotland,Aberdeen City,S12000033,2011,Transport,I Road Transport A Roads,139.76843641871767,kilotonnes
Scotland,Aberdeen City,S12000033,2011,Transport,J Road Transport Motorways,0,kilotonnes
Scotland,Aberdeen City,S12000033,2011,Transport,K Road Transport Minor Roads,149.86077853120972,kilotonnes
Scotland,Aberdeen City,S12000033,2011,Transport,L Diesel Railways,1.9089500430932826,kilotonnes
Scotland,Aberdeen City,S12000033,2011,Transport,M Transport Other,21.094514939753445,kilotonnes
Scotland,Aberdeen City,S12000033,2011,LULUCF,N Lulucf Net Emissions Forest,-18.2006961626827,kilotonnes
Scotland,Aberdeen City,S12000033,2011,LULUCF,O Lulucf Net Emissions Cropland,33.92837015301263,kilotonnes
Scotland,Aberdeen City,S12000033,2011,LULUCF,P Lulucf Net Emissions Grassland,-19.25455448892579,kilotonnes
Scotland,Aberdeen City,S12000033,2011,LULUCF,Q Lulucf Net Emissions Wetlands,0,kilotonnes
Scotland,Aberdeen City,S12000033,2011,LULUCF,R Lulucf Net Emissions Settlements,7.8614132128416605,kilotonnes
Scotland,Aberdeen City,S12000033,2011,LULUCF,S Lulucf Net Emissions Harvested Wood Products,0,kilotonnes
Scotland,Aberdeen City,S12000033,2012,Industry and Commercial,A Industry And Commercial Electricity,425.8344114973337,kilotonnes
Scotland,Aberdeen City,S12000033,2012,Industry and Commercial,B Industry And Commercial Gas,225.47239845429175,kilotonnes
Scotland,Aberdeen City,S12000033,2012,Industry and Commercial,C Large Industrial Installations,68.30296759759071,kilotonnes
Scotland,Aberdeen City,S12000033,2012,Industry and Commercial,D Industrial And Commercial Other Fuels,93.79276242135278,kilotonnes
Scotland,Aberdeen City,S12000033,2012,Industry and Commercial,E Agriculture,4.9113807881726075,kilotonnes
Scotland,Aberdeen City,S12000033,2012,Domestic,F Domestic Electricity,240.61012763121005,kilotonnes
Scotland,Aberdeen City,S12000033,2012,Domestic,G Domestic Gas,277.8543130861321,kilotonnes
Scotland,Aberdeen City,S12000033,2012,Domestic,H Domestic Other Fuels,7.175550867059645,kilotonnes
Scotland,Aberdeen City,S12000033,2012,Transport,I Road Transport A Roads,141.125817000121,kilotonnes
Scotland,Aberdeen City,S12000033,2012,Transport,J Road Transport Motorways,0,kilotonnes
Scotland,Aberdeen City,S12000033,2012,Transport,K Road Transport Minor Roads,145.7917361410514,kilotonnes
Scotland,Aberdeen City,S12000033,2012,Transport,L Diesel Railways,1.9123395667843388,kilotonnes
Scotland,Aberdeen City,S12000033,2012,Transport,M Transport Other,20.975213037260396,kilotonnes
Scotland,Aberdeen City,S12000033,2012,LULUCF,N Lulucf Net Emissions Forest,-17.132362834065603,kilotonnes
Scotland,Aberdeen City,S12000033,2012,LULUCF,O Lulucf Net Emissions Cropland,33.18162859032008,kilotonnes
Scotland,Aberdeen City,S12000033,2012,LULUCF,P Lulucf Net Emissions Grassland,-19.533740869082614,kilotonnes
Scotland,Aberdeen City,S12000033,2012,LULUCF,Q Lulucf Net Emissions Wetlands,0,kilotonnes
Scotland,Aberdeen City,S12000033,2012,LULUCF,R Lulucf Net Emissions Settlements,7.866677734465379,kilotonnes
Scotland,Aberdeen City,S12000033,2012,LULUCF,S Lulucf Net Emissions Harvested Wood Products,0,kilotonnes
Scotland,Aberdeen City,S12000033,2013,Industry and Commercial,A Industry And Commercial Electricity,398.970813142202,kilotonnes
Scotland,Aberdeen City,S12000033,2013,Industry and Commercial,B Industry And Commercial Gas,206.38568045328316,kilotonnes
Scotland,Aberdeen City,S12000033,2013,Industry and Commercial,C Large Industrial Installations,70.8188859528102,kilotonnes
Scotland,Aberdeen City,S12000033,2013,Industry and Commercial,D Industrial And Commercial Other Fuels,82.22485095150907,kilotonnes
Scotland,Aberdeen City,S12000033,2013,Industry and Commercial,E Agriculture,4.830795208044112,kilotonnes
Scotland,Aberdeen City,S12000033,2013,Domestic,F Domestic Electricity,217.61466466587922,kilotonnes
Scotland,Aberdeen City,S12000033,2013,Domestic,G Domestic Gas,281.5361478863089,kilotonnes
Scotland,Aberdeen City,S12000033,2013,Domestic,H Domestic Other Fuels,7.109298525746061,kilotonnes
Scotland,Aberdeen City,S12000033,2013,Transport,I Road Transport A Roads,139.32357489185924,kilotonnes
Scotland,Aberdeen City,S12000033,2013,Transport,J Road Transport Motorways,0,kilotonnes
Scotland,Aberdeen City,S12000033,2013,Transport,K Road Transport Minor Roads,145.08408538156783,kilotonnes
Scotland,Aberdeen City,S12000033,2013,Transport,L Diesel Railways,1.9121854363967146,kilotonnes
Scotland,Aberdeen City,S12000033,2013,Transport,M Transport Other,21.654126198495668,kilotonnes
Scotland,Aberdeen City,S12000033,2013,LULUCF,N Lulucf Net Emissions Forest,-17.04987540747377,kilotonnes
Scotland,Aberdeen City,S12000033,2013,LULUCF,O Lulucf Net Emissions Cropland,32.37995655343064,kilotonnes
Scotland,Aberdeen City,S12000033,2013,LULUCF,P Lulucf Net Emissions Grassland,-19.769522046584072,kilotonnes
Scotland,Aberdeen City,S12000033,2013,LULUCF,Q Lulucf Net Emissions Wetlands,0,kilotonnes
Scotland,Aberdeen City,S12000033,2013,LULUCF,R Lulucf Net Emissions Settlements,7.941893296182623,kilotonnes
Scotland,Aberdeen City,S12000033,2013,LULUCF,S Lulucf Net Emissions Harvested Wood Products,0,kilotonnes
Scotland,Aberdeen City,S12000033,2014,Industry and Commercial,A Industry And Commercial Electricity,340.99412637005395,kilotonnes
