name,code,year,emissions_sector,value,units
Angus,S12000041,2013,LULUCF,-1.8711135469400304,kilotonnes
Angus,S12000041,2013,Grand,826.1919760933417,kilotonnes
Angus,S12000041,2014,Industry And Commercial,277.39053438819553,kilotonnes
Angus,S12000041,2014,Domestic,245.06623064583812,kilotonnes
Angus,S12000041,2014,Transport,246.73531955018817,kilotonnes
Angus,S12000041,2014,LULUCF,-6.858311451636489,kilotonnes
Angus,S12000041,2014,Grand,762.3337731325854,kilotonnes
Angus,S12000041,2015,Industry And Commercial,256.4139935260117,kilotonnes
Angus,S12000041,2015,Domestic,231.88167823100986,kilotonnes
Angus,S12000041,2015,Transport,248.06981326957936,kilotonnes
Angus,S12000041,2015,LULUCF,-11.698673734839971,kilotonnes
Angus,S12000041,2015,Grand,724.6668112917608,kilotonnes
Angus,S12000041,2016,Industry And Commercial,230.5651369561717,kilotonnes
Angus,S12000041,2016,Domestic,217.25415261373806,kilotonnes
Angus,S12000041,2016,Transport,252.77810569904267,kilotonnes
Angus,S12000041,2016,LULUCF,-17.473353279805075,kilotonnes
Angus,S12000041,2016,Grand,683.1240419891471,kilotonnes
Angus,S12000041,2017,Industry And Commercial,222.10884453919948,kilotonnes
Angus,S12000041,2017,Domestic,203.24059919580517,kilotonnes
Angus,S12000041,2017,Transport,260.43311705007767,kilotonnes
Angus,S12000041,2017,LULUCF,-24.79806285974037,kilotonnes
Angus,S12000041,2017,Grand,660.9844979253418,kilotonnes
Angus,S12000041,2018,Industry And Commercial,220.44060850840486,kilotonnes
Angus,S12000041,2018,Domestic,199.99900757326313,kilotonnes
Angus,S12000041,2018,Transport,253.65548536393595,kilotonnes
Angus,S12000041,2018,LULUCF,-28.087098254578414,kilotonnes
Angus,S12000041,2018,Grand,646.0080031910254,kilotonnes
Argyll and Bute,S12000035,2005,Industry And Commercial,323.17648876321397,kilotonnes
Argyll and Bute,S12000035,2005,Domestic,304.02945146554407,kilotonnes
Argyll and Bute,S12000035,2005,Transport,200.78857883318418,kilotonnes
Argyll and Bute,S12000035,2005,LULUCF,-525.7490998341684,kilotonnes
Argyll and Bute,S12000035,2005,Grand,302.24541922777394,kilotonnes
Argyll and Bute,S12000035,2006,Industry And Commercial,313.5981389285349,kilotonnes
Argyll and Bute,S12000035,2006,Domestic,310.86813599358925,kilotonnes
Argyll and Bute,S12000035,2006,Transport,199.03268611787888,kilotonnes
Argyll and Bute,S12000035,2006,LULUCF,-565.667052312573,kilotonnes
Argyll and Bute,S12000035,2006,Grand,257.8319087274301,kilotonnes
Argyll and Bute,S12000035,2007,Industry And Commercial,310.4395154225682,kilotonnes
Argyll and Bute,S12000035,2007,Domestic,300.0144383670752,kilotonnes
